Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2009-12-31,213.13,213.35,210.56,210.732,12586100.0,0.0,1.0,26.982563062578997,27.010415377474914,26.657197384022115,26.67897283021347,88102700.0
2010-01-04,213.43,214.5,212.38,214.01,17633200.0,0.0,1.0,27.020543491982522,27.15600702352177,26.887611989070177,27.093972322162674,123432400.0
2010-01-05,214.6,215.59,213.25,214.38,21496600.0,0.0,1.0,27.168667166656277,27.294002583687917,26.997755234340406,27.140814851760357,150476200.0
2010-01-06,214.38,215.23,210.75,210.97,19720000.0,0.0,1.0,27.140814851760357,27.248426068403685,26.681251655977682,26.709103970873603,138040000.0
2010-01-07,211.75,212.0,209.05,210.58,17040400.0,0.0,1.0,26.807853087322773,26.839503445159046,26.46602922269103,26.659729412649018,119282800.0
2010-01-08,210.3,212.0,209.06,211.98,15986100.0,0.0,1.0,26.624281011872394,26.839503445159046,26.467295237004482,26.83697141653214,111902700.0
2010-01-11,212.8,213.0,208.45,210.11,16508200.0,0.0,1.0,26.94078459023512,26.966104876504133,26.390068363883973,26.600226739916828,115557400.0
2010-01-12,209.19,209.77,206.42,207.72,21230700.0,0.0,1.0,26.483753423079342,26.557182253259494,26.133067458253443,26.29764931900206,148614900.0
2010-01-13,207.87,210.93,204.1,210.65,21639000.0,0.0,1.0,26.316639533703825,26.7040399136198,25.839352137532835,26.668591512843175,151473000.0
2010-01-14,210.11,210.46,209.02,209.43,15460500.0,0.0,1.0,26.600226739916828,26.644537240887608,26.462231179750678,26.514137766602165,108223500.0
2010-01-15,210.93,211.6,205.87,205.93,21216700.0,0.0,1.0,26.7040399136198,26.788862872621007,26.063436671013644,26.07103275689435,148516900.0
2010-01-19,208.33,215.19,207.24,215.04,26071700.0,0.0,1.0,26.374876192122567,27.24336201114988,26.236880631956417,27.224371796448118,182501900.0
2010-01-20,214.91,215.55,209.5,211.725,21862600.0,0.0,1.0,27.207913610373254,27.288938526434116,26.52299986679632,26.804688051539145,153038200.0
2010-01-21,212.08,213.3138,207.21,208.072,21719800.0,0.0,1.0,26.849631559666655,27.00583240566022,26.233082589016064,26.342213022835534,152038600.0
2010-01-22,206.78,207.5,197.16,197.75,31491700.0,0.0,1.0,26.178643973537675,26.26979700410614,24.96073820399791,25.035433048491516,220441900.0
2010-01-25,202.51,204.7,200.19,203.075,38060700.0,0.0,1.0,25.63805586169414,25.91531299633989,25.344340540973533,25.709585670404117,266424900.0
2010-01-26,205.95,213.71,202.58,205.94,66682500.0,0.0,1.0,26.07356478552125,27.05599189275915,25.6469179618883,26.072298771207798,466777500.0
2010-01-27,206.85,210.58,199.531,207.884,61520300.0,0.0,1.0,26.187506073731832,26.659729412649018,25.26091019771712,26.318411953742654,430642100.0
2010-01-28,204.93,205.5,198.7,199.29,41910800.0,0.0,1.0,25.94443132554926,26.01659414141596,25.155704408269347,25.23039925276295,293375600.0
2010-01-29,201.08,202.2,190.25,192.063,44498300.0,0.0,1.0,25.457015814870665,25.59880941797716,24.08592231340334,24.315450708431985,311488100.0
2010-02-01,192.37,196.0,191.3,194.73,26781300.0,0.0,1.0,24.35431734785493,24.81388054363761,24.218853816315686,24.653096725829343,187469100.0
2010-02-02,195.91,196.32,193.38,195.86,24940800.0,0.0,1.0,24.80248641481655,24.854393001668036,24.482184793513472,24.796156343249297,174585600.0
2010-02-03,195.17,200.2,194.42,199.23,21976000.0,0.0,1.0,24.70880135562118,25.345606555286984,24.613850282112363,25.222803166882247,153832000.0
2010-02-04,196.73,198.37,191.57,192.05,27059000.0,0.0,1.0,24.90629958851952,25.113925935925472,24.25303620277886,24.313804889824503,189413000.0
2010-02-05,192.625,196.0,190.85,195.46,30368100.0,0.0,1.0,24.38660071284793,24.81388054363761,24.161883172210395,24.74551577071126,212576700.0
2010-02-08,195.69,197.88,194.0,194.12,17081100.0,0.0,1.0,24.77463409992063,25.051891234566376,24.56067768094743,24.575869852708838,119567700.0
2010-02-09,196.42,197.5,194.75,196.19,22603100.0,0.0,1.0,24.867053144802544,25.003782690655243,24.655628754456245,24.837934815593172,158221700.0
2010-02-10,195.89,196.6,194.26,195.116,13227200.0,0.0,1.0,24.799954386189647,24.88984140244466,24.59359405309715,24.70196487832855,92590400.0
2010-02-11,194.88,199.75,194.06,198.67,19655200.0,0.0,1.0,24.672086940531106,25.288635911181693,24.568273766828135,25.151906365328994,137586400.0
2010-02-12,198.11,201.64,195.5,200.38,23409600.0,0.0,1.0,25.081009563775748,25.52791261642391,24.750579827965062,25.3683948129291,163867200.0
2010-02-16,201.94,203.69,201.52,203.4,19419200.0,0.0,1.0,25.56589304582744,25.787445550681348,25.512720444662506,25.750731135591273,135934400.0
2010-02-17,204.19,204.31,200.86,202.55,15585600.0,0.0,1.0,25.85074626635389,25.865938438115304,25.429163499974745,25.643119918947946,109099200.0
2010-02-18,201.63,203.89,200.92,202.928,15100900.0,0.0,1.0,25.52664660211046,25.812765836950366,25.436759585855448,25.69097525999639,105706300.0
2010-02-19,201.86,203.2,201.11,201.67,14838200.0,0.0,1.0,25.555764931319835,25.72541084932225,25.46081385781102,25.531710659364265,103867400.0
2010-02-22,202.34,202.5,199.19,200.416,13948700.0,0.0,1.0,25.616533618365477,25.63678984738069,25.217739109628443,25.372952464457523,97640900.0
2010-02-23,200.0,201.33,195.71,197.059,20539100.0,0.0,1.0,25.320286269017966,25.48866617270694,24.77716612854753,24.94795145943206,143773700.0
2010-02-24,198.23,201.44,197.84,200.656,16448800.0,0.0,1.0,25.096201735537157,25.502592330154897,25.046827177312572,25.403336807980345,115141600.0
2010-02-25,197.38,202.86,196.89,202.0,23754500.0,0.0,1.0,24.98859051889383,25.682366362664926,24.926555817534734,25.573489131708147,166281500.0
